"","State","Real_Openness","Water_Use","Constructed_Openness","Income","Precipitation","Temperature","Population","Area","Latitude","Longitude","Income2","Is.DC","Tot_Employment","Agri_Employment","Housing_units","Median_Income","Real_Openness_next_yr","Water_Use_next_yr","Constructed_Openness_next_yr","Income_next_yr","Precipitation_next_yr","Temperature_next_yr","Population_next_yr","Area_next_yr","Latitude_next_yr","Longitude_next_yr","Income2_next_yr","Is.DC_next_yr","Tot_Employment_next_yr","Agri_Employment_next_yr","Housing_units_next_yr","Median_Income_next_yr","same_yr_Irrigated_area","next_yr_Irrigated_area","next_yr_Irrigated_water","next_yr_Irrigated_water_gw","next_yr_Irrigated_water_sw","next_yr_irrigated_area_gravity","next_yr_irrigated_area_sprinkler","next_yr_irrigated_area_drip","next_yr_Irrigated_area_gw","next_yr_Irrigated_area_sw","palmer_z","next_yr_gravity_percent","next_yr_sprinkler_percent","next_yr_drip_percent","next_yr_sprinkler_rel","next_yr_drip_rel"
"1",1,1.22429906542056,4.06041714814303,1.03504672897196,10.0351734933615,3.97702804629097,4.17340215328911,15.3887041075169,25.5997981465192,32.87856631,-86.71153023,100.704707041865,0,14.5094714074059,10.4419964344021,14.5992143653491,9.99104044954399,1.23014018691589,4.06041714814303,0.866853830043418,10.0598073067911,4.1700315216904,4.13700644407113,15.3911273292828,25.5997981465192,32.87856631,-86.71153023,101.199723049767,0,14.5141098487234,10.4606431738847,14.5994244304838,10.0184220906282,11.6352138916487,11.5246366208982,10.7055788200853,10.0877819923326,9.81899818351825,8.39366870513074,11.5437553037627,9.20763672040187,48762.98737,42991.56843,-0.51,0.0436755025796122,1.01930261519303,0.0985688588428314,23.3380855397149,2.25684544014483
"2",2,NA,-0.544123909167505,NA,10.3700477600041,3.44907101578749,3.15108690391329,13.5027827772579,27.9282177807489,60.0718779,-134.6421729,107.537890544766,0,12.7699536103673,9.86646043169905,12.6366465397791,10.3066834212002,0.139830508474576,-0.544123909167505,0.109137124259998,10.3881950481471,3.52932651055151,3.28513827780607,13.507805353907,27.9282177807489,60.0718779,-134.6421729,107.914596358347,0,12.7737189594472,10.0006142632669,12.6359604110949,10.3450595565376,7.80425138352811,6.97634807044775,6.12468339089421,5.9836130619589,3.57532722334251,4.23410650459726,6.92559519711047,4.70953020131233,862.6594922,83.70947811,NA,0.0644257703081232,0.950513538748833,0.103641456582633,14.7536231884058,1.60869565217391
"3",4,0.589659990684676,7.41927269340578,0.374476013041453,10.1105017219205,2.25732373531679,4.12889066156563,15.6954724307393,26.4080727421997,33.67825359,-111.4708913,102.222245068956,0,14.8298901509841,10.6557759021992,14.870340223774,10.1388363162887,0.599162011173184,7.41927269340578,0.364330590553186,10.1331696806899,2.49555711997486,4.10189056026277,15.7066060318721,26.4080727421997,33.67825359,-111.4708913,102.681127777653,0,14.8421061221925,10.6962085379922,14.8775829901029,10.1438421405807,13.6883735348566,13.6551786469619,15.1388321049208,13.8540690759532,12.6993642501056,13.5251742996087,12.391269232129,10.8239296555328,314887.8804,100645.5623,-0.11,0.878091613537889,0.282547270035839,0.0589391931312738,0.321774249610969,0.0671219178301952
"4",5,0.991279069767442,8.06548562772126,0.792635658914729,9.98243735551453,3.68336429454196,4.15259453730521,14.8970211086487,25.6260263461462,34.91154416,-92.43423888,99.6490555567719,0,14.0404325269559,10.6063127496473,14.0993540223781,9.97715614246133,0.99515503875969,8.06548562772126,0.726546334902657,9.9954740331485,3.99317924569408,4.0881883978673,14.900487979538,25.6260263461462,34.91154416,-92.43423888,99.9095011473459,0,14.032095045573,10.5182947416448,14.100521816967,9.97529645528256,15.384939062307,15.4149088415583,15.6802402452064,15.5193671280058,13.7052583634188,15.2733657571873,14.0042887259116,10.2676096971099,4493909.719,701389.3406,0.03,0.86801777677936,0.243991933015667,0.00581508925257972,0.281090940235072,0.00669927437909817
"5",6,0.539071711866223,9.03784464521618,0.156930003215779,10.2520647984372,3.15185752848122,4.08703749853821,17.4541863869433,26.7238660267036,37.83798795,-120.7490147,105.104832631356,0,16.6355826980952,12.929550175273,16.4335045330435,10.1647358098839,0.550839302897466,9.03784464521618,0.241393338460408,10.292586123224,2.06760094922235,4.08393715774503,17.4618092061305,26.7238660267036,37.83798795,-120.7490147,105.937329103983,0,16.6564992426218,12.9194341333404,16.4395457611732,10.1793373994813,15.8775470059659,15.8369469892225,16.9720401874583,16.0937537647613,14.4167891932955,15.3283111303063,14.323607462159,14.8390479456151,3855571.502,1027462.288,0.46,0.601315298481513,0.220173473582031,0.368653152317191,0.366153121562065,0.613077953027541
"6",8,0.54611946363267,8.17353858522008,0.377895164567249,10.319859629483,2.51021416596933,3.87758346112935,15.4617782506251,26.3158150294043,38.92883319,-105.4910899,106.499502772232,0,14.755202923132,11.1188897913218,14.6177524732992,10.2831903094209,0.554246241365299,8.17353858522008,0.445089673185483,10.355231738165,2.93244434077139,3.80850100821462,15.4772310053261,26.3158150294043,38.92883319,-105.4910899,107.2308243511,0,14.768633768814,11.1139691287749,14.6252360487903,10.3112832759826,14.7384928513192,14.6525602274281,15.2352089887028,14.26309530341,13.2646868380278,13.9951660640011,14.2013367453756,9.22286165252985,1003767.107,318131.9837,0.5,0.518199920936739,0.636848502062962,0.00438441717690469,1.2289629471802,0.00846086037407932
"7",9,0.822303921568627,2.1685278478476,0.845588235294118,10.5157228978406,3.67287067924,3.95982911624252,15.0937594131751,23.2523240134854,41.59547524,-72.64983479,110.580428064168,0,14.380916408233,8.85423669340574,14.2129448384603,10.3709880515637,0.823529411764706,2.1685278478476,0.86916045327032,10.5381047909057,3.76895528646961,3.9075283676601,15.0953549212672,23.2523240134854,41.59547524,-72.64983479,111.051652584109,0,14.3871345296319,8.95454448838672,14.2129918803013,10.3654590100846,9.13475438501959,8.58876938990546,8.29379960884682,7.51152464839087,7.77094512502239,5.8171111599632,7.89766815072691,8.08978917578932,2029.106054,2837.548705,1.05,0.0625581828337367,0.501024017873766,0.60714950660957,8.00892857142857,9.70535714285714
"8",10,0.949250288350634,3.61052459206058,0.400230680507497,10.2648266026017,3.67205132761078,4.06893870591723,13.7289630733599,22.3420066544612,39.11541037,-75.49471267,105.36666518148,0,12.9648062355009,8.51998927871824,12.9246633761685,10.2543204649912,0.952710495963091,3.61052459206058,0.434563615733342,10.2916030223092,3.92737017759492,4.02251142976001,13.73835841857,22.3420066544612,39.11541037,-75.49471267,105.917092768803,0,12.9721147413592,7.98616486033273,12.9288150354359,10.2715968741005,11.7540818074851,11.6506766915584,10.9754649268999,10.9376330995349,7.18614430452233,2.89037175789616,11.7252264475054,8.19753873972118,108723.4004,6034,-0.22,0.000156836776481454,1.0773989491936,0.0316461762322578,6869.55555555556,201.777777777778
"9",12,0.698630136986301,6.97142617384086,0.275716064757161,10.1436062080563,4.01012441775241,4.27504137330351,16.7765254989079,25.6574375661447,28.93181099,-82.70591607,102.892746904118,0,15.92906193796,11.4386867150347,16.0162323462566,10.0599355914121,0.704607721046077,6.97142617384086,0.250473092662155,10.159446732792,4.04251920210215,4.27218484182536,16.7886321252562,25.6574375661447,28.93181099,-82.70591607,103.214357916437,0,15.9508585495486,11.3820647885205,16.0180513126888,10.0752957033132,14.2165123871118,14.1263418574775,14.2685555743681,13.4736073895745,12.7803798310176,13.2588975072976,12.8407375952145,13.3771156672392,743286.2459,291815.2584,-0.29,0.420023612024104,0.276483464621171,0.472732216049288,0.658256956766763,1.12548962133624
"10",13,0.975784447476125,5.72410245176402,0.441678035470668,10.0990954536558,3.7377844602602,4.18221224828,16.1100579348908,25.7304685799072,32.8067682,-83.57635023,101.991728982052,0,15.2656110627238,10.7568384846364,15.22833827549,10.1138295120131,0.977489768076398,5.72410245176402,0.418814316166627,10.1235463508884,4.15027738375645,4.14946260671053,16.1173120440186,25.7304685799072,32.8067682,-83.57635023,102.486190718586,0,15.2851894980188,10.9156519417949,15.228973001754,10.1257907508526,13.933609099399,13.9952847061998,13.3188639353716,13.0724410150704,11.7540975217371,8.49002752334347,13.9425396060928,12.0780119754627,963619.4012,244947.8582,0.06,0.00406534290991999,0.948621785258662,0.147007344519014,233.343608713522,36.1611179613646
